,class 1,class 2,class 3,class 4,class
950,I,N,F,P,INFP
951,I,N,T,J,INTJ
952,I,N,F,P,INFP
953,I,S,F,P,ISFP
954,I,N,F,P,INFP
955,E,N,T,J,ENTJ
956,I,N,F,P,INFP
957,I,N,T,J,INTJ
958,I,N,F,J,INFJ
959,I,S,F,P,ISFP
960,E,N,F,P,ENFP
961,I,N,F,J,INFJ
962,I,S,F,J,ISFJ
963,I,N,F,J,INFJ
964,I,N,T,P,INTP
965,I,N,F,P,INFP
966,E,N,F,P,ENFP
967,I,N,F,P,INFP
968,I,N,F,P,INFP
969,E,N,F,P,ENFP
970,I,N,F,P,INFP
971,I,N,T,P,INTP
972,I,N,F,P,INFP
973,E,N,F,P,ENFP
974,E,N,F,P,ENFP
975,I,N,T,P,INTP
976,I,N,F,P,INFP
977,I,N,T,P,INTP
978,I,N,T,J,INTJ
979,I,N,T,J,INTJ
980,E,N,T,P,ENTP
981,E,N,T,P,ENTP
982,I,N,F,P,INFP
983,E,N,T,P,ENTP
984,I,N,T,P,INTP
985,E,N,T,P,ENTP
986,E,N,F,J,ENFJ
987,I,S,F,P,ISFP
988,I,N,F,P,INFP
989,E,N,T,P,ENTP
990,I,N,F,J,INFJ
991,I,N,T,P,INTP
992,I,S,T,P,ISTP
993,I,N,T,J,INTJ
994,I,N,F,P,INFP
995,E,N,F,P,ENFP
996,E,N,T,P,ENTP
997,I,N,F,P,INFP
998,E,N,T,J,ENTJ
999,I,S,T,J,ISTJ
1000,I,S,F,J,ISFJ
1001,I,N,T,J,INTJ
1002,I,N,F,J,INFJ
1003,I,N,T,J,INTJ
1004,I,N,F,P,INFP
1005,I,N,T,J,INTJ
1006,I,N,T,J,INTJ
1007,I,S,T,P,ISTP
1008,I,N,F,J,INFJ
1009,I,N,F,J,INFJ
1010,I,N,F,P,INFP
1011,I,N,T,J,INTJ
1012,I,N,F,P,INFP
1013,E,N,F,P,ENFP
1014,I,N,F,P,INFP
1015,I,N,F,P,INFP
1016,I,N,F,P,INFP
1017,E,N,F,J,ENFJ
1018,I,N,T,J,INTJ
1019,I,N,F,J,INFJ
1020,I,N,F,P,INFP
1021,I,N,F,P,INFP
1022,E,N,T,P,ENTP
1023,E,N,T,P,ENTP
1024,I,N,F,P,INFP
1025,I,N,T,P,INTP
1026,I,S,T,P,ISTP
1027,I,N,F,P,INFP
1028,E,N,T,P,ENTP
1029,E,N,F,P,ENFP
1030,I,N,T,J,INTJ
1031,I,S,F,P,ISFP
1032,E,N,T,P,ENTP
1033,I,N,F,P,INFP
1034,I,N,F,P,INFP
1035,I,N,F,J,INFJ
1036,I,N,T,J,INTJ
1037,E,N,F,P,ENFP
1038,I,N,T,P,INTP
1039,E,N,F,P,ENFP
1040,I,N,T,P,INTP
1041,I,N,T,J,INTJ
1042,I,N,T,P,INTP
1043,I,N,T,J,INTJ
1044,I,N,F,J,INFJ
1045,I,N,F,P,INFP
1046,I,N,T,J,INTJ
1047,E,N,F,P,ENFP
1048,E,N,T,P,ENTP
1049,I,S,T,J,ISTJ
1050,I,S,F,P,ISFP
1051,I,N,F,J,INFJ
1052,I,S,F,J,ISFJ
1053,E,N,F,J,ENFJ
1054,I,N,F,P,INFP
1055,I,S,T,P,ISTP
1056,I,N,F,J,INFJ
1057,E,N,T,P,ENTP
1058,E,N,T,P,ENTP
1059,I,S,T,P,ISTP
1060,I,S,F,P,ISFP
1061,I,S,F,J,ISFJ
1062,I,S,F,P,ISFP
1063,I,S,T,J,ISTJ
1064,I,N,F,P,INFP
1065,I,N,F,P,INFP
1066,E,N,F,P,ENFP
1067,I,S,F,P,ISFP
1068,I,N,F,P,INFP
1069,I,N,F,P,INFP
1070,I,S,T,P,ISTP
1071,I,N,T,P,INTP
1072,I,N,F,P,INFP
1073,I,N,T,J,INTJ
1074,I,N,F,J,INFJ
1075,E,N,F,P,ENFP
1076,I,N,T,P,INTP
1077,E,N,F,J,ENFJ
1078,I,N,F,P,INFP
1079,I,N,F,P,INFP
1080,I,N,F,P,INFP
1081,I,N,F,P,INFP
1082,E,N,T,P,ENTP
1083,E,N,T,P,ENTP
1084,I,N,F,J,INFJ
1085,I,N,F,P,INFP
1086,I,N,F,P,INFP
1087,I,N,T,J,INTJ
1088,I,S,F,P,ISFP
1089,I,S,T,J,ISTJ
1090,E,N,F,P,ENFP
1091,I,N,F,P,INFP
1092,E,N,T,P,ENTP
1093,E,N,F,J,ENFJ
1094,I,N,F,P,INFP
1095,I,N,F,P,INFP
1096,I,N,F,P,INFP
1097,I,N,F,P,INFP
1098,I,N,F,J,INFJ
1099,I,N,T,J,INTJ
1100,I,N,F,P,INFP
1101,I,N,F,J,INFJ
1102,I,N,T,P,INTP
1103,I,S,T,P,ISTP
1104,I,N,F,P,INFP
1105,I,N,F,J,INFJ
1106,I,N,T,P,INTP
1107,I,N,F,J,INFJ
1108,I,N,F,P,INFP
1109,I,N,T,P,INTP
1110,I,N,F,J,INFJ
1111,I,N,T,P,INTP
1112,E,S,T,J,ESTJ
1113,E,N,T,P,ENTP
1114,I,N,F,J,INFJ
1115,E,N,T,J,ENTJ
1116,I,N,T,J,INTJ
1117,I,N,T,J,INTJ
1118,I,S,T,P,ISTP
1119,I,S,T,P,ISTP
1120,E,N,T,P,ENTP
1121,I,N,F,J,INFJ
1122,I,N,F,P,INFP
1123,E,N,F,P,ENFP
1124,I,N,T,P,INTP
1125,I,N,T,P,INTP
1126,I,N,F,J,INFJ
1127,I,S,F,J,ISFJ
1128,I,S,T,J,ISTJ
1129,I,N,F,J,INFJ
1130,I,N,F,J,INFJ
1131,I,N,F,P,INFP
1132,I,N,F,P,INFP
1133,E,N,T,P,ENTP
1134,E,S,F,P,ESFP
1135,I,N,T,J,INTJ
1136,I,N,T,J,INTJ
1137,I,N,F,J,INFJ
1138,I,N,T,P,INTP
1139,I,S,F,P,ISFP
1140,I,N,F,J,INFJ
1141,I,S,T,J,ISTJ
1142,I,N,T,J,INTJ
1143,I,N,F,P,INFP
1144,E,N,T,P,ENTP
1145,I,N,T,P,INTP
1146,I,N,T,J,INTJ
1147,I,N,F,P,INFP
1148,E,N,F,P,ENFP
1149,I,N,T,P,INTP
1150,I,N,F,P,INFP
1151,I,N,F,P,INFP
1152,I,N,F,P,INFP
1153,I,N,F,J,INFJ
1154,I,S,F,J,ISFJ
1155,I,S,F,J,ISFJ
1156,I,N,F,P,INFP
1157,I,N,F,P,INFP
1158,I,N,T,J,INTJ
1159,E,N,F,P,ENFP
1160,I,S,F,P,ISFP
1161,E,N,T,J,ENTJ
1162,I,N,T,P,INTP
1163,E,N,T,P,ENTP
1164,I,N,T,J,INTJ
1165,I,N,F,P,INFP
1166,I,S,T,J,ISTJ
1167,I,N,F,P,INFP
1168,I,N,F,P,INFP
1169,I,N,F,P,INFP
1170,I,N,T,J,INTJ
1171,I,N,T,P,INTP
1172,I,S,T,P,ISTP
1173,E,N,F,P,ENFP
1174,I,N,T,J,INTJ
1175,I,N,T,J,INTJ
1176,I,S,F,P,ISFP
1177,E,N,T,P,ENTP
1178,I,N,F,J,INFJ
1179,I,N,F,P,INFP
1180,I,N,T,P,INTP
1181,E,N,T,P,ENTP
1182,I,N,F,P,INFP
1183,I,N,F,P,INFP
1184,I,S,F,P,ISFP
1185,E,N,F,P,ENFP
1186,I,N,T,P,INTP
1187,E,N,F,P,ENFP
1188,I,N,F,P,INFP
1189,I,N,F,P,INFP
1190,I,N,T,J,INTJ
1191,I,N,F,P,INFP
1192,E,S,T,P,ESTP
1193,I,N,T,J,INTJ
1194,I,N,F,P,INFP
1195,I,N,F,J,INFJ
1196,I,N,T,J,INTJ
1197,I,N,F,J,INFJ
1198,I,N,F,P,INFP
1199,E,N,T,P,ENTP
1200,I,N,T,P,INTP
1201,I,S,T,J,ISTJ
1202,I,N,F,P,INFP
1203,E,N,F,P,ENFP
1204,E,N,T,P,ENTP
1205,I,N,F,J,INFJ
1206,I,S,T,J,ISTJ
1207,E,S,T,P,ESTP
1208,I,N,T,J,INTJ
1209,E,N,T,P,ENTP
1210,I,N,F,J,INFJ
1211,E,S,T,P,ESTP
1212,E,N,F,P,ENFP
1213,I,N,T,J,INTJ
1214,E,N,T,P,ENTP
1215,E,N,T,P,ENTP
1216,I,S,T,J,ISTJ
1217,E,N,T,P,ENTP
1218,E,S,F,P,ESFP
1219,I,N,F,P,INFP
1220,E,N,T,P,ENTP
1221,E,N,F,J,ENFJ
1222,I,N,F,J,INFJ
1223,I,N,F,P,INFP
1224,E,N,F,P,ENFP
1225,I,N,T,J,INTJ
1226,I,N,F,P,INFP
1227,E,S,F,J,ESFJ
1228,I,N,F,P,INFP
1229,I,N,T,J,INTJ
1230,I,N,F,J,INFJ
1231,I,N,T,J,INTJ
1232,I,N,T,J,INTJ
1233,I,N,F,P,INFP
1234,E,N,T,P,ENTP
1235,I,N,T,J,INTJ
1236,E,N,F,P,ENFP
1237,I,N,F,J,INFJ
1238,I,N,F,P,INFP
1239,I,S,F,P,ISFP
1240,E,S,T,J,ESTJ
1241,I,N,F,P,INFP
1242,E,N,F,P,ENFP
1243,I,N,T,P,INTP
1244,I,N,T,J,INTJ
1245,I,N,T,J,INTJ
1246,I,N,F,P,INFP
1247,E,N,T,J,ENTJ
1248,E,N,F,P,ENFP
1249,E,N,F,J,ENFJ
1250,I,N,F,P,INFP
1251,I,S,F,P,ISFP
1252,I,N,T,P,INTP
1253,I,N,F,P,INFP
1254,I,N,F,J,INFJ
1255,E,N,F,P,ENFP
1256,I,N,T,J,INTJ
1257,I,N,F,P,INFP
1258,I,N,F,P,INFP
1259,I,N,F,J,INFJ
1260,I,N,F,J,INFJ
1261,E,N,T,P,ENTP
1262,I,N,F,J,INFJ
1263,I,N,T,P,INTP
1264,E,N,T,P,ENTP
1265,I,N,F,P,INFP
1266,E,N,F,P,ENFP
1267,E,N,T,J,ENTJ
1268,I,S,F,J,ISFJ
1269,I,N,F,J,INFJ
1270,I,N,T,P,INTP
1271,I,N,F,P,INFP
1272,I,N,T,P,INTP
1273,I,N,F,P,INFP
1274,I,N,T,J,INTJ
1275,I,N,T,J,INTJ
1276,I,N,F,J,INFJ
1277,I,N,F,J,INFJ
1278,E,N,T,P,ENTP
1279,E,S,T,P,ESTP
1280,I,S,T,P,ISTP
1281,E,N,T,P,ENTP
1282,I,N,F,J,INFJ
1283,I,N,T,P,INTP
1284,I,N,F,J,INFJ
1285,E,N,T,P,ENTP
1286,I,N,T,J,INTJ
1287,E,N,T,P,ENTP
1288,I,N,T,J,INTJ
1289,I,N,T,P,INTP
1290,I,S,T,P,ISTP
1291,I,N,T,P,INTP
1292,I,N,F,J,INFJ
1293,E,N,F,P,ENFP
1294,I,S,T,J,ISTJ
1295,I,N,T,P,INTP
1296,I,N,F,P,INFP
1297,I,N,F,J,INFJ
1298,I,N,F,J,INFJ
1299,I,N,F,J,INFJ
1300,I,N,F,P,INFP
1301,I,N,F,J,INFJ
1302,I,N,F,P,INFP
1303,E,S,T,P,ESTP
1304,I,N,F,J,INFJ
1305,I,N,F,P,INFP
1306,I,S,F,J,ISFJ
1307,I,N,F,P,INFP
1308,E,N,T,P,ENTP
1309,E,N,T,P,ENTP
1310,I,N,F,P,INFP
1311,I,N,F,P,INFP
1312,E,N,F,P,ENFP
1313,I,S,T,J,ISTJ
1314,I,N,F,P,INFP
1315,I,N,T,J,INTJ
1316,I,N,F,P,INFP
1317,I,N,F,P,INFP
1318,I,N,F,J,INFJ
1319,I,S,F,P,ISFP
1320,I,N,F,P,INFP
1321,I,N,F,J,INFJ
1322,E,N,T,P,ENTP
1323,I,N,T,P,INTP
1324,I,N,T,P,INTP
1325,I,S,T,P,ISTP
1326,E,N,T,P,ENTP
1327,I,N,T,P,INTP
1328,I,S,T,P,ISTP
1329,I,N,F,J,INFJ
1330,I,S,T,P,ISTP
1331,I,N,F,P,INFP
1332,I,N,T,P,INTP
1333,I,N,T,P,INTP
1334,E,N,F,J,ENFJ
1335,E,N,F,P,ENFP
1336,E,N,F,J,ENFJ
1337,I,N,T,P,INTP
1338,I,N,F,J,INFJ
1339,E,N,T,J,ENTJ
1340,I,N,T,P,INTP
1341,E,N,T,J,ENTJ
1342,I,N,T,J,INTJ
1343,I,N,F,P,INFP
1344,I,S,T,P,ISTP
1345,E,N,F,P,ENFP
1346,I,N,F,P,INFP
1347,E,N,F,P,ENFP
1348,I,N,F,J,INFJ
1349,I,S,F,J,ISFJ
1350,I,N,F,J,INFJ
1351,I,N,F,J,INFJ
1352,I,N,F,J,INFJ
1353,I,N,F,J,INFJ
1354,I,N,F,J,INFJ
1355,I,N,T,J,INTJ
1356,I,N,F,P,INFP
1357,I,N,F,P,INFP
1358,I,N,F,J,INFJ
1359,I,N,F,J,INFJ
1360,I,N,F,P,INFP
1361,I,S,T,J,ISTJ
1362,E,N,F,P,ENFP
1363,I,N,F,P,INFP
1364,E,N,T,J,ENTJ
1365,E,N,F,P,ENFP
1366,E,N,F,P,ENFP
1367,E,N,T,P,ENTP
1368,E,S,T,J,ESTJ
1369,I,N,F,J,INFJ
1370,I,N,F,J,INFJ
1371,I,N,T,P,INTP
1372,I,N,F,J,INFJ
1373,I,N,T,P,INTP
1374,I,S,T,P,ISTP
1375,I,N,F,P,INFP
1376,I,N,F,P,INFP
1377,I,N,T,P,INTP
1378,I,N,F,J,INFJ
1379,I,N,T,P,INTP
1380,E,N,F,P,ENFP
1381,I,N,F,J,INFJ
1382,I,N,F,J,INFJ
1383,I,N,T,P,INTP
1384,I,N,F,J,INFJ
1385,E,N,F,J,ENFJ
1386,I,N,F,J,INFJ
1387,E,N,F,P,ENFP
1388,E,N,T,P,ENTP
1389,I,S,T,P,ISTP
1390,E,N,T,J,ENTJ
1391,I,N,F,P,INFP
1392,E,N,F,P,ENFP
1393,I,N,T,P,INTP
1394,I,N,T,P,INTP
1395,I,N,F,P,INFP
1396,I,N,F,P,INFP
1397,E,N,T,P,ENTP
1398,I,S,F,P,ISFP
1399,I,N,F,J,INFJ
1400,I,N,F,J,INFJ
1401,I,N,F,P,INFP
1402,I,S,T,P,ISTP
1403,I,N,F,P,INFP
1404,I,N,F,P,INFP
1405,I,N,F,J,INFJ
1406,I,N,F,P,INFP
1407,I,N,F,P,INFP
1408,E,N,T,P,ENTP
1409,I,S,T,P,ISTP
1410,I,N,T,P,INTP
1411,I,N,T,J,INTJ
1412,I,S,T,J,ISTJ
1413,I,N,F,P,INFP
1414,I,N,F,J,INFJ
1415,E,N,F,J,ENFJ
1416,I,N,F,P,INFP
1417,I,N,F,P,INFP
1418,E,N,T,P,ENTP
1419,I,N,T,P,INTP
1420,I,N,T,P,INTP
1421,I,S,F,P,ISFP
1422,I,N,F,J,INFJ
1423,I,N,F,P,INFP
1424,I,N,F,J,INFJ
1425,I,N,F,P,INFP
1426,I,N,T,P,INTP
1427,I,N,F,J,INFJ
1428,E,N,T,P,ENTP
1429,E,S,F,P,ESFP
1430,I,N,T,P,INTP
1431,E,N,T,P,ENTP
1432,E,N,T,P,ENTP
1433,E,N,F,P,ENFP
1434,I,N,F,P,INFP
1435,E,N,F,P,ENFP
1436,I,N,F,P,INFP
1437,I,N,F,J,INFJ
1438,I,N,F,P,INFP
1439,I,N,F,P,INFP
1440,I,N,F,P,INFP
1441,E,N,F,J,ENFJ
1442,I,N,T,P,INTP
1443,I,N,F,P,INFP
1444,I,N,T,J,INTJ
1445,I,N,F,J,INFJ
1446,I,S,F,J,ISFJ
1447,E,N,F,J,ENFJ
1448,I,N,F,P,INFP
1449,I,N,T,P,INTP
1450,E,S,T,J,ESTJ
1451,I,N,T,P,INTP
1452,E,N,F,P,ENFP
1453,I,N,F,J,INFJ
1454,E,N,T,P,ENTP
1455,E,N,F,P,ENFP
1456,I,N,T,J,INTJ
1457,I,N,F,P,INFP
1458,I,N,F,J,INFJ
1459,I,N,T,J,INTJ
1460,I,N,F,P,INFP
1461,E,N,T,P,ENTP
1462,E,N,F,P,ENFP
1463,I,N,F,J,INFJ
1464,I,N,T,P,INTP
1465,I,N,F,J,INFJ
1466,I,N,F,J,INFJ
1467,I,N,T,P,INTP
1468,I,S,T,J,ISTJ
1469,I,N,F,P,INFP
1470,I,N,F,P,INFP
1471,I,S,T,P,ISTP
1472,I,N,F,P,INFP
1473,I,N,F,P,INFP
1474,I,N,F,J,INFJ
1475,I,N,F,J,INFJ
1476,I,N,F,J,INFJ
1477,I,N,T,J,INTJ
1478,I,N,T,J,INTJ
1479,E,N,T,J,ENTJ
1480,I,S,T,J,ISTJ
1481,E,S,T,P,ESTP
1482,I,N,F,P,INFP
1483,I,N,T,P,INTP
1484,I,N,F,P,INFP
1485,I,S,T,P,ISTP
1486,I,N,F,J,INFJ
1487,I,N,F,P,INFP
1488,I,N,T,P,INTP
1489,I,N,F,P,INFP
1490,I,N,F,P,INFP
1491,I,N,T,P,INTP
1492,I,N,F,P,INFP
1493,I,N,F,P,INFP
1494,I,N,F,J,INFJ
1495,E,N,F,P,ENFP
1496,I,N,F,J,INFJ
1497,E,N,T,P,ENTP
1498,I,S,F,P,ISFP
1499,I,S,T,J,ISTJ
1500,I,S,F,J,ISFJ
1501,I,N,F,P,INFP
1502,E,N,F,P,ENFP
1503,I,S,T,J,ISTJ
1504,I,N,F,P,INFP
1505,I,N,F,J,INFJ
1506,I,N,T,J,INTJ
1507,I,S,F,J,ISFJ
1508,I,S,F,J,ISFJ
1509,E,S,F,J,ESFJ
1510,I,N,T,J,INTJ
1511,I,N,F,P,INFP
1512,I,N,T,J,INTJ
1513,I,S,T,P,ISTP
1514,I,N,F,P,INFP
1515,E,N,T,P,ENTP
1516,I,N,T,P,INTP
1517,I,N,T,P,INTP
1518,E,N,F,P,ENFP
1519,I,N,F,P,INFP
1520,I,N,F,P,INFP
1521,E,N,T,P,ENTP
1522,I,N,F,J,INFJ
1523,I,N,T,J,INTJ
1524,E,N,F,P,ENFP
1525,I,N,T,J,INTJ
1526,I,N,F,J,INFJ
1527,I,N,T,J,INTJ
1528,E,S,F,P,ESFP
1529,I,N,T,P,INTP
1530,I,N,T,J,INTJ
1531,I,N,F,J,INFJ
1532,I,N,F,J,INFJ
1533,E,S,T,P,ESTP
1534,I,S,T,P,ISTP
1535,E,N,T,P,ENTP
1536,I,N,T,J,INTJ
1537,I,N,T,J,INTJ
1538,E,N,T,P,ENTP
1539,I,S,T,J,ISTJ
1540,I,N,F,P,INFP
1541,I,N,F,P,INFP
1542,I,N,T,P,INTP
1543,I,N,T,P,INTP
1544,I,S,T,P,ISTP
1545,I,N,F,P,INFP
1546,I,N,F,P,INFP
1547,I,N,T,P,INTP
1548,I,N,F,P,INFP
1549,I,N,F,J,INFJ
1550,I,N,F,P,INFP
1551,I,N,F,J,INFJ
1552,E,N,T,P,ENTP
1553,I,N,T,P,INTP
1554,I,N,T,P,INTP
1555,I,N,T,J,INTJ
1556,I,N,T,J,INTJ
1557,I,N,F,P,INFP
1558,I,N,T,J,INTJ
1559,E,S,T,J,ESTJ
1560,I,S,F,J,ISFJ
1561,I,N,F,P,INFP
1562,E,N,T,P,ENTP
1563,I,S,F,J,ISFJ
1564,I,S,T,J,ISTJ
1565,I,N,F,J,INFJ
1566,E,N,T,P,ENTP
1567,I,N,T,P,INTP
1568,I,N,T,J,INTJ
1569,I,N,F,P,INFP
1570,I,N,F,P,INFP
1571,I,N,F,P,INFP
1572,I,N,F,P,INFP
1573,I,N,F,P,INFP
1574,I,N,T,P,INTP
1575,I,N,F,J,INFJ
1576,I,S,T,P,ISTP
1577,I,N,T,P,INTP
1578,I,N,T,P,INTP
1579,I,S,T,P,ISTP
1580,I,N,F,P,INFP
1581,I,N,F,J,INFJ
1582,I,N,T,P,INTP
1583,I,N,F,J,INFJ
1584,I,N,T,P,INTP
1585,I,N,F,P,INFP
1586,E,N,F,P,ENFP
1587,E,N,F,J,ENFJ
1588,E,N,F,P,ENFP
1589,I,N,T,J,INTJ
1590,I,N,F,J,INFJ
1591,I,N,T,P,INTP
1592,I,N,T,P,INTP
1593,I,N,F,J,INFJ
1594,E,N,F,P,ENFP
1595,I,N,F,J,INFJ
1596,I,N,T,P,INTP
1597,I,N,F,P,INFP
1598,I,N,T,J,INTJ
1599,I,N,F,P,INFP
1600,I,N,F,J,INFJ
1601,I,N,T,J,INTJ
1602,I,N,F,P,INFP
1603,I,N,F,J,INFJ
1604,E,N,T,P,ENTP
1605,I,N,T,P,INTP
1606,I,N,T,P,INTP
1607,I,N,T,P,INTP
1608,I,N,T,P,INTP
1609,E,N,F,P,ENFP
1610,E,N,T,P,ENTP
1611,I,N,F,J,INFJ
1612,E,N,T,P,ENTP
1613,I,N,F,P,INFP
1614,I,N,F,P,INFP
1615,E,N,F,P,ENFP
1616,E,N,T,P,ENTP
1617,I,N,T,P,INTP
1618,I,N,T,P,INTP
1619,I,N,F,P,INFP
1620,I,N,T,P,INTP
1621,E,N,T,P,ENTP
1622,I,N,T,P,INTP
1623,I,N,T,P,INTP
1624,I,N,T,P,INTP
1625,E,N,F,J,ENFJ
1626,I,N,F,P,INFP
1627,E,N,F,P,ENFP
1628,I,N,F,P,INFP
1629,E,N,F,P,ENFP
1630,I,N,F,J,INFJ
1631,I,N,T,P,INTP
1632,I,N,T,J,INTJ
1633,I,S,T,P,ISTP
1634,I,N,F,P,INFP
1635,I,N,T,J,INTJ
1636,I,S,F,P,ISFP
1637,I,N,F,J,INFJ
1638,I,N,T,P,INTP
1639,E,N,F,P,ENFP
1640,E,N,F,J,ENFJ
1641,I,N,F,P,INFP
1642,I,N,T,J,INTJ
1643,I,N,F,J,INFJ
1644,I,N,T,P,INTP
1645,I,N,T,J,INTJ
1646,I,N,T,P,INTP
1647,E,N,F,P,ENFP
1648,I,N,T,P,INTP
1649,I,N,T,P,INTP
1650,E,N,F,P,ENFP
1651,E,N,F,P,ENFP
1652,E,S,F,J,ESFJ
1653,I,N,F,P,INFP
1654,I,N,F,J,INFJ
1655,I,N,F,P,INFP
1656,I,N,T,P,INTP
1657,I,N,T,J,INTJ
1658,I,N,F,J,INFJ
1659,E,N,T,P,ENTP
1660,I,S,T,J,ISTJ
1661,I,N,F,P,INFP
1662,I,N,F,P,INFP
1663,I,N,F,P,INFP
1664,I,N,F,P,INFP
1665,I,N,T,J,INTJ
1666,I,N,T,J,INTJ
1667,E,N,F,P,ENFP
1668,I,N,T,P,INTP
1669,I,N,F,J,INFJ
1670,I,N,T,J,INTJ
1671,I,N,T,P,INTP
1672,I,N,T,J,INTJ
1673,I,N,T,P,INTP
1674,I,N,T,J,INTJ
1675,I,N,F,P,INFP
1676,I,N,T,P,INTP
1677,I,N,T,P,INTP
1678,E,N,T,P,ENTP
1679,E,N,F,J,ENFJ
1680,I,N,F,P,INFP
1681,I,N,T,J,INTJ
1682,I,S,F,P,ISFP
1683,I,N,T,J,INTJ
1684,I,N,F,J,INFJ
1685,E,N,T,P,ENTP
1686,I,N,T,J,INTJ
1687,I,N,F,J,INFJ
1688,I,S,T,J,ISTJ
1689,E,N,F,P,ENFP
1690,I,N,F,J,INFJ
1691,I,N,F,J,INFJ
1692,I,N,F,P,INFP
1693,I,S,F,P,ISFP
1694,E,S,T,J,ESTJ
1695,I,N,F,J,INFJ
1696,I,N,T,J,INTJ
1697,E,N,T,P,ENTP
1698,I,N,T,J,INTJ
1699,I,N,T,P,INTP
1700,I,N,T,P,INTP
1701,I,N,T,P,INTP
1702,I,N,F,J,INFJ
1703,I,N,T,J,INTJ
1704,I,N,T,P,INTP
1705,I,S,F,J,ISFJ
1706,I,N,F,P,INFP
1707,I,N,T,P,INTP
1708,I,N,F,P,INFP
1709,I,N,F,J,INFJ
1710,I,N,F,P,INFP
1711,E,N,F,P,ENFP
1712,I,S,T,P,ISTP
1713,E,N,F,J,ENFJ
1714,I,N,F,J,INFJ
1715,E,N,T,P,ENTP
1716,E,N,F,P,ENFP
1717,I,N,F,P,INFP
1718,I,N,F,P,INFP
1719,E,S,T,P,ESTP
1720,E,N,T,P,ENTP
1721,E,N,T,P,ENTP
1722,I,N,T,P,INTP
1723,I,N,F,P,INFP
1724,I,N,F,J,INFJ
1725,I,N,T,J,INTJ
1726,I,N,F,P,INFP
1727,E,N,T,J,ENTJ
1728,I,S,F,J,ISFJ
1729,I,N,T,J,INTJ
1730,I,N,F,P,INFP
1731,I,N,T,J,INTJ
1732,I,N,F,P,INFP
1733,E,N,F,J,ENFJ
1734,I,N,T,J,INTJ
1735,I,N,F,J,INFJ
1736,I,N,T,J,INTJ
1737,I,N,F,J,INFJ
1738,I,N,T,J,INTJ
1739,I,N,F,P,INFP
1740,I,S,T,J,ISTJ
1741,I,N,T,J,INTJ
1742,I,N,T,J,INTJ
1743,I,N,T,J,INTJ
1744,I,N,F,J,INFJ
1745,I,N,T,P,INTP
1746,I,N,T,P,INTP
1747,E,N,T,P,ENTP
1748,E,N,T,P,ENTP
1749,I,N,T,P,INTP
1750,I,N,T,P,INTP
1751,I,N,F,J,INFJ
1752,I,N,F,J,INFJ
1753,I,N,T,P,INTP
1754,I,N,T,J,INTJ
1755,I,N,T,P,INTP
1756,I,N,T,P,INTP
1757,E,N,T,J,ENTJ
1758,I,S,T,J,ISTJ
1759,I,S,F,P,ISFP
1760,I,N,T,J,INTJ
1761,I,N,F,P,INFP
1762,E,N,T,P,ENTP
1763,I,S,T,J,ISTJ
1764,I,N,T,J,INTJ
1765,I,S,T,P,ISTP
1766,I,N,F,J,INFJ
1767,I,S,T,J,ISTJ
1768,I,S,T,J,ISTJ
1769,I,N,T,P,INTP
1770,E,N,F,P,ENFP
1771,I,N,T,J,INTJ
1772,I,N,F,J,INFJ
1773,I,N,T,P,INTP
1774,E,N,T,P,ENTP
1775,I,S,F,J,ISFJ
1776,I,N,F,P,INFP
1777,I,N,F,J,INFJ
1778,I,S,F,P,ISFP
1779,I,N,T,J,INTJ
1780,E,N,F,P,ENFP
1781,I,N,F,P,INFP
1782,I,N,T,J,INTJ
1783,E,N,T,P,ENTP
1784,E,N,F,P,ENFP
1785,E,N,T,J,ENTJ
1786,I,N,F,J,INFJ
1787,I,N,F,P,INFP
1788,I,N,T,J,INTJ
1789,E,N,F,P,ENFP
1790,I,N,F,J,INFJ
1791,E,N,T,J,ENTJ
1792,I,N,F,P,INFP
1793,I,N,F,J,INFJ
1794,I,N,T,J,INTJ
1795,I,N,F,P,INFP
1796,I,N,T,J,INTJ
1797,I,N,F,J,INFJ
1798,I,N,T,P,INTP
1799,I,N,T,P,INTP
1800,I,N,T,J,INTJ
1801,I,N,F,P,INFP
1802,I,N,F,P,INFP
1803,I,S,T,P,ISTP
1804,I,S,T,P,ISTP
1805,I,N,F,P,INFP
1806,I,N,T,P,INTP
1807,I,S,T,J,ISTJ
1808,E,S,F,J,ESFJ
1809,I,S,T,J,ISTJ
1810,I,N,F,J,INFJ
1811,I,S,T,J,ISTJ
1812,I,N,T,P,INTP
1813,I,N,F,J,INFJ
1814,I,S,F,J,ISFJ
1815,I,N,T,P,INTP
1816,I,S,T,P,ISTP
1817,E,N,T,P,ENTP
1818,I,N,T,P,INTP
1819,E,N,T,J,ENTJ
1820,E,N,T,P,ENTP
1821,E,N,T,P,ENTP
1822,I,N,F,P,INFP
1823,I,N,T,J,INTJ
1824,E,N,T,P,ENTP
1825,I,N,F,J,INFJ
1826,I,N,F,J,INFJ
1827,I,N,F,P,INFP
1828,I,N,F,P,INFP
1829,I,N,T,P,INTP
1830,I,N,F,J,INFJ
1831,I,N,T,J,INTJ
1832,I,N,F,P,INFP
1833,I,S,F,P,ISFP
1834,I,N,F,P,INFP
1835,I,N,F,J,INFJ
1836,I,N,F,P,INFP
1837,I,N,T,P,INTP
1838,I,N,F,J,INFJ
1839,I,N,F,P,INFP
1840,I,N,F,P,INFP
